satPRN,GPS time,Sat.X,Sat.Y,Sat.Z,pseudorange,cn0
G08,3154.348164221039,24957608.4900774,4733199.735065126,8360754.224506811,21181460.235583045,43.2
G10,3170.3426078310004,-1454631.248002789,17225145.620079592,20276071.691711623,22808808.104633592,36.2
G21,3154.34634892107,15724184.354888173,1688903.958229954,21890036.589471556,21727981.806512993,38.0
G27,3154.3447278090753,23129068.90085827,13297901.058058847,-2774425.5908863503,22170281.011379644,36.1
G28,3154.3391313300235,5187121.090956601,25788161.066844575,-3704031.2888299953,23793050.221402526,37.5
G32,3154.347111690091,7973030.4034289215,17915294.161785945,18216576.418030366,21275841.59748011,41.3
G02,3155.3422434800304,14598888.778811233,-5083202.246467784,22061836.05253253,22784480.9755576,38.2
G03,3155.338538565091,23168088.885517042,-12094687.664812177,4198643.158046126,24123815.53579458,46.8
G08,3155.3481635360513,24958477.032373726,4733864.988620086,8357864.156670595,21181665.59669822,47.9
G10,3171.3426064570667,-1456788.0324104726,17226475.50350912,20274742.750407342,22809219.998277985,34.9
G21,3155.346349998028,15724610.734396478,1691531.4000107688,21889616.14601406,21727658.94210722,35.6
G27,3155.3447259170935,23128684.1927849,13297977.613493893,-2777551.442304384,22170848.212575402,44.0
G28,3155.3391328960424,5186894.137053337,25788654.573011562,-3700900.423253884,23792580.736211482,43.3
G32,3155.3471107810037,7970928.78415778,17914442.68482016,18218334.218690034,21276114.134844437,40.0
G02,3156.3422450519865,14599329.05834845,-5080551.637156474,22062189.672800727,22784009.716920022,37.1
G03,3156.338540141005,23167749.389591098,-12094200.68395362,4201818.0520576015,24123343.094972927,41.2
G08,3156.348162846989,24959345.284223218,4734530.04203358,8354973.914626645,21181872.17932864,47.9
G10,3172.3426052040886,-1458944.600176705,17227805.43030271,20273413.381708268,22809595.630369917,36.5
G21,3156.3463510069996,15725037.262490831,1694158.754182363,21889195.259563968,21727356.459555764,41.6
G27,3156.344724026043,23128299.141113177,13298054.021091813,-2780677.236339798,22171415.134567685,48.2
G28,3156.339134486043,5186667.172367298,25789147.70099932,-3697769.478884373,23792104.06153073,43.8
G32,3156.347109818016,7968826.917522302,17913591.237306375,18220091.64049334,21276402.83111039,45.0
G02,3157.3422466670163,14599769.504501907,-5077901.015403017,22062542.843257736,22783525.545121323,34.6
G03,3157.338541710982,23167409.589952674,-12093713.457928997,4204992.855724721,24122872.434073478,34.6
G08,3157.348162154085,24960213.245584894,4735194.895337768,8352083.49843505,21182079.91367343,48.0
G10,3173.3426038770704,-1461100.9508405626,17229135.40014709,20272083.585899964,22809993.459138814,34.2
G21,3157.3463520720834,15725463.93920757,1696786.0210104221,21888773.93008109,21727037.15499441,39.8
G27,3157.3447221150855,23127913.74583725,13298130.280900547,-2783802.97286305,22171988.024534427,43.1
G28,3157.3391360710375,5186440.1968534,25789640.45078714,-3694638.4558787756,23791628.887568705,43.2
G32,3157.347108914051,7966724.803322066,17912739.819197696,18221848.683602255,21276673.83285556,42.3
G02,3158.3422482090537,14600210.117216542,-5075250.381579678,22062895.563856784,22783063.255895663,32.3
G03,3158.3385432780487,23167069.486641124,-12093225.98669995,4208167.568988693,24122402.645684924,36.3
G08,3158.3481614730554,24961080.916431192,4735859.548575499,8349192.908111087,21182284.0881738,46.3
G10,3174.342602566001,-1463257.0845557768,17230465.413107943,20270753.36288919,22810386.50654805,34.3
G21,3158.3463531190064,15725890.764498426,1699413.2002390404,21888352.15760877,21726723.29490099,39.8
G27,3158.3447202020325,23127528.006935958,13298206.39297177,-2786928.651865419,22172561.542709015,41.0
G28,3158.3391376860673,5186213.2104518395,25790132.822385963,-3691507.354193974,23791144.709294327,35.7
G32,3158.3471079650335,7964622.441812326,17911888.430632163,18223605.347797394,21276958.34106926,39.7
G02,3159.342249663081,14600650.896481778,-5072599.73579083,22063247.83458692,22782627.351399228,28.2
G03,3159.33854484302,23166729.079696488,-12092738.270229332,4211342.191783686,24121933.485504203,35.9
G08,3159.3481607880676,24961948.296707146,4736524.00176846,8346302.143761274,21182489.44928898,47.5
G10,3175.342601313023,-1465413.0013725748,17231795.46918737,20269422.712646224,22810762.138639983,32.4
G21,3159.3463541340316,15726317.738340918,1702040.2917715344,21887929.942164898,21726418.997526888,33.8
G27,3159.344718300039,23127141.924390383,13298282.35735604,-2790054.273323656,22173131.745342225,41.2
G28,3159.3391392050544,5185986.213140046,25790624.81572732,-3688376.1742913146,23790689.323879216,35.2
G32,3159.3471070540836,7962519.832855563,17911037.07158816,18225361.633188296,21277231.436840557,40.2
G02,3160.34225133399,14601091.842428159,-5069949.077292727,22063599.65554969,22782126.4273915,34.2
G03,3160.3385463870363,23166388.369165722,-12092250.308489257,4214516.723981431,24121470.607401866,33.0
G08,3160.348160098074,24962815.386370633,4737188.254948521,8343411.205449393,21182696.31112288,45.8
G10,3176.3425999589963,-1467568.7009078218,17233125.568119675,20268091.635409273,22811168.064309914,32.1
G21,3160.3463552080793,15726744.860757258,1704667.2957863323,21887507.283723142,21726097.005632002,31.7
G27,3160.3447163910605,23126755.49819347,13298358.174101818,-2793179.837116989,22173704.04200157,40.2
G28,3160.3391408030875,5185759.2048267,25791116.43089098,-3685244.9156891564,23790210.24106842,39.6
G32,3160.347106156056,7960416.976541095,17910185.742136523,18227117.53969431,21277500.65866351,38.9
G02,3161.342252926086,14601532.954921326,-5067298.406933916,22063951.026635215,22781649.130978584,36.9
G03,3161.338547979016,23166047.355065584,-12091762.101409515,4217691.165732296,24120993.35032012,33.9
G08,3161.3481594080804,24963682.185384825,4737852.3081512675,8340520.093221677,21182903.17295678,44.6
G10,3177.3425986840157,-1469724.1835093703,17234455.710090417,20266760.130965035,22811550.29258415,38.0
G21,3161.346356161055,15727172.131653879,1707294.2117495975,21887084.182371743,21725811.310190015,37.0
G27,3161.3447144650854,23126368.72833499,13298433.843258416,-2796305.343149723,22174281.434124492,44.6
G28,3161.3391423660796,5185532.185485762,25791607.66781459,-3682113.5788113065,23789741.663288698,41.3
G32,3161.3471051900415,7958313.87307639,17909334.442395218,18228873.06713691,21277790.262340788,41.7
G02,3162.342254496063,14601974.233982319,-5064647.724628592,22064301.947857726,22781178.465648413,35.4
G03,3162.3385495160474,23165706.037471645,-12091273.649003394,4220865.516641198,24120532.566243913,36.8
G08,3162.3481586719863,24964548.693668608,4738516.16137841,8337628.807272192,21183123.855363134,41.8
G10,3178.34259734198,-1471879.4488218548,17235785.894851245,20265428.199534472,22811952.623509225,33.1
G21,3162.346357243019,15727599.551121,1709921.0402576895,21886660.63801699,21725486.945065513,36.5
G27,3162.344712538994,23125981.614794392,13298509.364877054,-2799430.7914102785,22174858.86114785,45.1
G28,3162.3391439020634,5185305.1550643165,25792098.526495695,-3678982.1636992143,23789281.18241001,38.1
G32,3162.347104224027,7956210.522355018,17908483.172355793,18230628.215599038,21278079.866018068,37.3
G02,3163.3422560089966,14602415.679591777,-5061997.030533825,22064652.41919928,22780724.90153163,39.1
G03,3163.338551071007,23165364.41639948,-12090784.951198496,4224039.776871066,24120066.407500647,41.6
G08,3163.348157984088,24965414.911262475,4739179.814725055,8334737.347389063,21183330.0889892,41.0
G10,3179.342595976079,-1474034.4968981706,17237116.12240561,20264095.84108654,22812362.10902357,33.1
G21,3163.3463582430268,15728027.11905181,1712547.7806960493,21886236.65076031,21725187.14984759,31.5
G27,3163.3447106200038,23125594.15755508,13298584.739007818,-2802556.181856789,22175434.159244645,42.4
G28,3163.3391455130186,5185078.1134873405,25792589.006978076,-3675850.6701001287,23788798.225650873,35.8
G32,3163.3471033050446,7954106.924315075,17907631.9320274,18232382.985126756,21278355.36991941,34.3
G02,3164.342257592012,14602857.291801788,-5059346.324377345,22065002.4406987,22780250.32735268,41.2
G03,3164.338552609086,23165022.491901375,-12090296.007975057,4227213.946243014,24119605.30932052,45.2
G08,3164.3481572649907,24966280.838056527,4739843.268170724,8331845.7138625905,21183545.67593197,42.0
G10,3180.342594687012,-1476189.3279150315,17238446.392833423,20262763.055513494,22812748.560250506,33.5
G21,3164.3463592820335,15728454.83548136,1715174.433321626,21885812.220562544,21724875.662983783,35.8
G27,3164.344708697987,23125206.3566069,13298659.96570002,-2805681.5143932635,22176010.364752762,41.4
G28,3164.3391470370116,5184851.060740044,25793079.109176017,-3672719.098587732,23788341.339517042,37.5
G32,3164.3471023410093,7952003.079187073,17906780.72153773,18234137.375522032,21278644.380289286,36.9
G02,3165.34225916001,14603299.070570862,-5056695.606449084,22065352.01232043,22779780.255329914,43.5
G03,3165.3385541780153,23164680.264001522,-12089806.819272783,4230388.024840143,24119134.96252499,45.0
G08,3165.348156566033,24967146.474054065,4740506.521781865,8328953.906605074,21183755.225099403,41.4
G10,3181.3425933050457,-1478343.9414661964,17239776.70585491,20261429.843067985,22813162.862024948,32.9
G21,3165.346360317082,15728882.700374613,1717800.9979611742,21885387.347454023,21724565.36273478,36.8
