,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,Constellation,SvName
111,1713027080417,332298412000000,18,0.0,-1396730000005343064,-0.9638175964355468,24.969423975562677,-136.69708412843036,13.912730973709401,6,27,0.0,16399,579098343479793,9,45.5,533.2472534179688,0.04430919513106346,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.38,40.5,0.0,0.0,,,C,338294115615885,G,G27
112,1713027080417,332298412000000,18,0.0,-1396730000005343064,-0.9638175964355468,24.969423975562677,-136.69708412843036,13.912730973709401,6,28,0.0,16399,579098337688129,21,36.2,-511.4332885742188,0.49799999594688416,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.38,31.200000000000003,0.0,0.0,,,C,338294115615885,G,G28
113,1713027080417,332298412000000,18,0.0,-1396730000005343064,-0.9638175964355468,24.969423975562677,-136.69708412843036,13.912730973709401,6,32,0.0,16399,579098345808372,9,45.5,236.1792755126953,0.04130919650197029,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.38,40.5,0.0,0.0,,,C,338294115615885,G,G32
140,1713027080417,332298412000000,18,0.0,-1396730000005343064,-0.9638175964355468,24.969423975562677,-136.69708412843036,13.912730973709401,6,03,0.0,81935,579098337102610,9,31.9,-506.5216979980469,0.7669999599456787,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.97,26.9,-7861.53955078125,6.015265464782715,,,Q,338294115615885,G,G03
141,1713027080417,332298412000000,18,0.0,-1396730000005343064,-0.9638175964355468,24.969423975562677,-136.69708412843036,13.912730973709401,6,08,0.0,81935,579098346855546,6,35.0,165.37184143066406,0.07852034270763397,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.97,30.0,-7861.53955078125,6.015265464782715,,,Q,338294115615885,G,G08
142,1713027080417,332298412000000,18,0.0,-1396730000005343064,-0.9638175964355468,24.969423975562677,-136.69708412843036,13.912730973709401,6,27,0.0,81935,579098343487639,8,32.3,533.45703125,0.6859999895095825,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.97,27.299999999999997,-7861.53955078125,6.015265464782715,,,Q,338294115615885,G,G27
143,1713027080417,332298412000000,18,0.0,-1396730000005343064,-0.9638175964355468,24.969423975562677,-136.69708412843036,13.912730973709401,6,28,0.0,81935,579098337695881,27,22.1,-511.0576171875,3.767000198364258,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.97,17.1,-7861.53955078125,6.015265464782715,,,Q,338294115615885,G,G28
144,1713027080417,332298412000000,18,0.0,-1396730000005343064,-0.9638175964355468,24.969423975562677,-136.69708412843036,13.912730973709401,6,32,0.0,81935,579098345816264,16,26.2,235.1298370361328,1.0989999771118164,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.97,21.2,-7861.53955078125,6.015265464782715,,,Q,338294115615885,G,G32
161,1713027081417,332299412000000,18,0.0,-1396730000005343206,-0.3460350036621094,26.17577774799429,-139.22955713878792,13.519478343356516,6,02,0.0,16399,579099340801137,9,45.2,-502.2459411621094,0.048809196799993515,16,0.0,0.0,1575420030,,,,0,0.0,1,-55.97,40.2,0.0,0.0,,,C,338295115151353,G,G02
162,1713027081417,332299412000000,18,0.0,-1396730000005343206,-0.3460350036621094,26.17577774799429,-139.22955713878792,13.519478343356516,6,03,0.0,16399,579099337096510,10,44.0,-501.1187744140625,0.023899104446172714,16,0.0,0.0,1575420030,,,,0,0.0,1,-55.97,39.0,0.0,0.0,,,C,338295115151353,G,G03
163,1713027081417,332299412000000,18,0.0,-1396730000005343206,-0.3460350036621094,26.17577774799429,-139.22955713878792,13.519478343356516,6,08,0.0,16399,579099346847153,6,49.5,169.416748046875,0.037792082875967026,16,0.0,0.0,1575420030,,,,0,0.0,1,-55.97,44.5,0.0,0.0,,,C,338295115151353,G,G08
164,1713027081417,332299412000000,18,0.0,-1396730000005343206,-0.3460350036621094,26.17577774799429,-139.22955713878792,13.519478343356516,6,10,0.0,16399,579099341325086,13,41.6,358.97479248046875,0.05039195343852043,16,0.0,0.0,1575420030,,,,0,0.0,1,-55.97,36.6,0.0,0.0,,,C,338295115151353,G,G10
165,1713027081417,332299412000000,18,0.0,-1396730000005343206,-0.3460350036621094,26.17577774799429,-139.22955713878792,13.519478343356516,6,21,0.0,16399,579099344937069,8,46.2,-345.1298828125,0.04220025613903999,16,0.0,0.0,1575420030,,,,0,0.0,1,-55.97,41.2,0.0,0.0,,,C,338295115151353,G,G21
166,1713027081417,332299412000000,18,0.0,-1396730000005343206,-0.3460350036621094,26.17577774799429,-139.22955713878792,13.519478343356516,6,27,0.0,16399,579099343478012,7,47.0,537.2924194335938,0.043205492198467255,16,0.0,0.0,1575420030,,,,0,0.0,1,-55.97,42.0,0.0,0.0,,,C,338295115151353,G,G27
167,1713027081417,332299412000000,18,0.0,-1396730000005343206,-0.3460350036621094,26.17577774799429,-139.22955713878792,13.519478343356516,6,28,0.0,16399,579099337689805,16,39.1,-507.09564208984375,0.6032862663269043,16,0.0,0.0,1575420030,,,,0,0.0,1,-55.97,34.1,0.0,0.0,,,C,338295115151353,G,G28
168,1713027081417,332299412000000,18,0.0,-1396730000005343206,-0.3460350036621094,26.17577774799429,-139.22955713878792,13.519478343356516,6,32,0.0,16399,579099345807575,6,48.2,240.2536163330078,0.03980587422847748,16,0.0,0.0,1575420030,,,,0,0.0,1,-55.97,43.2,0.0,0.0,,,C,338295115151353,G,G32
194,1713027081417,332299412000000,18,0.0,-1396730000005343206,-0.3460350036621094,26.17577774799429,-139.22955713878792,13.519478343356516,6,03,0.0,81935,579099337104294,6,35.9,-500.9246520996094,4.681924819946289,16,0.0,0.0,1176450050,,,,0,0.0,1,-37.58,30.9,-7861.5380859375,6.015347003936768,,,Q,338295115151353,G,G03
195,1713027081417,332299412000000,18,0.0,-1396730000005343206,-0.3460350036621094,26.17577774799429,-139.22955713878792,13.519478343356516,6,08,0.0,81935,579099346854988,5,38.7,169.3560333251953,0.05711478739976883,16,0.0,0.0,1176450050,,,,0,0.0,1,-37.58,33.7,-7861.5380859375,6.015347003936768,,,Q,338295115151353,G,G08
196,1713027081417,332299412000000,18,0.0,-1396730000005343206,-0.3460350036621094,26.17577774799429,-139.22955713878792,13.519478343356516,6,27,0.0,81935,579099343485859,6,36.5,537.2116088867188,0.8260688781738281,16,0.0,0.0,1176450050,,,,0,0.0,1,-37.58,31.5,-7861.5380859375,6.015347003936768,,,Q,338295115151353,G,G27
197,1713027081417,332299412000000,18,0.0,-1396730000005343206,-0.3460350036621094,26.17577774799429,-139.22955713878792,13.519478343356516,6,28,0.0,81935,579099337697570,18,25.4,-507.5027770996094,1.1769999265670776,16,0.0,0.0,1176450050,,,,0,0.0,1,-37.58,20.4,-7861.5380859375,6.015347003936768,,,Q,338295115151353,G,G28
